2026-08-18 11:46:01,923-process_name-INFO : 进程6，从redis中取出172个数据,有82个字典参数
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 5.5, '商品价格': 2304.53}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 11, '商品价格': 675.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 6, '商品价格': 1521.31}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 11.5, '商品价格': 1121.18}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 6.5, '商品价格': 1521.31}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 12.5, '商品价格': 1121.18}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 13, '商品价格': 723.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 14, '商品价格': 941.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 7, '商品价格': 1036.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 15, '商品价格': 723.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 7.5, '商品价格': 1002.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 8, '商品价格': 948.0}提取完成
2026-08-18 11:46:03,001-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 8.5, '商品价格': 914.0}提取完成
2026-08-18 11:46:03,001-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 9, '商品价格': 920.0}提取完成
2026-08-18 11:46:03,001-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 9.5, '商品价格': 995.0}提取完成
2026-08-18 11:46:03,014-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 10, '商品价格': 920.0}提取完成
2026-08-18 11:46:03,014-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 10.5, '商品价格': 920.0}提取完成
2026-08-18 11:46:03,014-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 11, '商品价格': 920.0}提取完成
2026-08-18 11:46:03,015-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 11.5, '商品价格': 1009.0}提取完成
2026-08-18 11:46:03,015-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 12, '商品价格': 1009.0}提取完成
2026-08-18 11:46:03,015-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 12.5, '商品价格': 3175.0}提取完成
2026-08-18 11:46:03,015-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 13, '商品价格': 1036.0}提取完成
2026-08-18 11:46:03,015-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 14, '商品价格': 15941.21}提取完成
2026-08-18 11:46:03,015-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 15, '商品价格': 3175.0}提取完成
2026-08-18 11:46:03,015-process_name-INFO : 货号IX1872-001解析失败: module 'utils.logger' has no attribute 'et_logger'
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 6, '商品价格': 730.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 6.5, '商品价格': 893.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 7, '商品价格': 593.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 7.5, '商品价格': 573.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 8, '商品价格': 573.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 8.5, '商品价格': 573.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 9, '商品价格': 559.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 9.5, '商品价格': 532.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 10, '商品价格': 614.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 10.5, '商品价格': 607.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 11, '商品价格': 675.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 11.5, '商品价格': 1121.18}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 12, '商品价格': 914.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 12.5, '商品价格': 1121.18}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 13, '商品价格': 723.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 14, '商品价格': 941.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : {'商品货号': 'IF1611-102', '商品尺寸': 15, '商品价格': 723.0}提取完成
2026-08-18 11:46:03,028-process_name-INFO : 货号IF1611-102解析失败: module 'utils.logger' has no attribute 'et_logger'
2026-08-18 11:46:03,036-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 6, '商品价格': 730.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 6.5, '商品价格': 893.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 7, '商品价格': 593.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 7.5, '商品价格': 573.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 8, '商品价格': 573.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 8.5, '商品价格': 573.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 9, '商品价格': 559.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 9.5, '商品价格': 532.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 10, '商品价格': 614.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 10.5, '商品价格': 607.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 11, '商品价格': 675.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 11.5, '商品价格': 1121.18}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 12, '商品价格': 914.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 12.5, '商品价格': 1121.18}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 13, '商品价格': 723.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 14, '商品价格': 941.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : {'商品货号': 'HF6416-003', '商品尺寸': 15, '商品价格': 723.0}提取完成
2026-08-18 11:46:03,037-process_name-INFO : 货号HF6416-003解析失败: module 'utils.logger' has no attribute 'et_logger'
2026-08-18 11:46:03,045-process_name-INFO : {'商品货号': 'IO9279-101', '商品尺寸': 6, '商品价格': 730.0}提取完成
2026-08-18 11:46:03,045-process_name-INFO : {'商品货号': 'IO9279-101', '商品尺寸': 6.5, '商品价格': 784.0}提取完成
2026-08-18 11:46:03,045-process_name-INFO : {'商品货号': 'IO9279-101', '商品尺寸': 7, '商品价格': 880.0}提取完成
2026-08-18 11:46:03,045-process_name-INFO : {'商品货号': 'IO9279-101', '商品尺寸': 7.5, '商品价格': 846.0}提取完成
2026-08-18 11:46:03,045-process_name-INFO : {'商品货号': 'IO9279-101', '商品尺寸': 8, '商品价格': 914.0}提取完成
2026-08-18 11:46:03,045-process_name-INFO : 货号IO9279-101解析失败: unsupported operand type(s) for /: 'str' and 'int'
2026-08-18 11:46:03,072-process_name-INFO : {'商品货号': 'IR0923-001', '商品尺寸': 3.5, '商品价格': 1309.71}提取完成
2026-08-18 11:46:03,072-process_name-INFO : {'商品货号': 'IR0923-001', '商品尺寸': 4, '商品价格': 1301.69}提取完成
2026-08-18 11:46:03,072-process_name-INFO : {'商品货号': 'IR0923-001', '商品尺寸': 4.5, '商品价格': 1309.71}提取完成
2026-08-18 11:46:03,072-process_name-INFO : {'商品货号': 'IR0923-001', '商品尺寸': 5, '商品价格': 1309.71}提取完成
2026-08-18 11:46:03,072-process_name-INFO : {'商品货号': 'IR0923-001', '商品尺寸': 5.5, '商品价格': 1137.22}提取完成
2026-08-18 11:46:03,072-process_name-INFO : {'商品货号': 'IR0923-001', '商品尺寸': 6, '商品价格': 682.0}提取完成
